k,t_ms,u,y,r
0,0,0.200000000,0.004000000,1.0
1,1,0.400000000,0.012000000,1.0
2,2,0.600000000,0.024000000,1.0
3,3,0.800000000,0.040000000,1.0
4,4,1.000000000,0.060000000,1.0
5,5,1.000000000,0.080000000,1.0
6,6,1.000000000,0.100000000,1.0
7,7,1.000000000,0.120000000,1.0
8,8,1.000000000,0.140000000,1.0
9,9,1.000000000,0.160000000,1.0
10,10,1.000000000,0.180000000,1.0
11,11,1.000000000,0.200000000,1.0
12,12,1.000000000,0.220000000,1.0
13,13,1.000000000,0.240000000,1.0
14,14,1.000000000,0.260000000,1.0
15,15,1.000000000,0.280000000,1.0
16,16,1.000000000,0.300000000,1.0
17,17,1.000000000,0.320000000,1.0
18,18,1.000000000,0.340000000,1.0
19,19,1.000000000,0.360000000,1.0
20,20,1.000000000,0.380000000,1.0
21,21,1.000000000,0.400000000,1.0
22,22,1.000000000,0.420000000,1.0
23,23,1.000000000,0.440000000,1.0
24,24,1.000000000,0.460000000,1.0
25,25,0.963801945,0.479276039,1.0
26,26,0.909835809,0.497472755,1.0
27,27,0.859165401,0.514656063,1.0
28,28,0.811587004,0.530887803,1.0
29,29,0.766909512,0.546225993,1.0
30,30,0.724953651,0.560725066,1.0
31,31,0.685551246,0.574436091,1.0
32,32,0.648544532,0.587406982,1.0
33,33,0.613785513,0.599682692,1.0
34,34,0.581135352,0.611305399,1.0
35,35,0.550463810,0.622314676,1.0
36,36,0.521648708,0.632747650,1.0
37,37,0.494575432,0.642639158,1.0
38,38,0.469136460,0.652021888,1.0
39,39,0.445230929,0.660926506,1.0
40,40,0.422764217,0.669381790,1.0
41,41,0.401647559,0.677414742,1.0
42,42,0.381797685,0.685050695,1.0
43,43,0.363136479,0.692313425,1.0
44,44,0.345590658,0.699225238,1.0
45,45,0.329091476,0.705807068,1.0
46,46,0.313574442,0.712078556,1.0
47,47,0.298979054,0.718058138,1.0
48,48,0.285248557,0.723763109,1.0
49,49,0.272329704,0.729209703,1.0
50,50,0.260172547,0.734413154,1.0
51,51,0.248730226,0.739387758,1.0
